date,Nest Protocol crypto,AGI Token crypto,Sperax crypto,Flamingo crypto,Dawn Protocol crypto,isPartial,Unibot crypto,DREP crypto,Refereum crypto,Fei Protocol crypto,BeNFT AI crypto,isPartial,FTX Token crypto,Crust Network crypto,Machine Xchange Coin crypto,Crypton crypto,TENET crypto,isPartial,Ooki Protocol crypto,e-RADIX crypto,Akropolis crypto,Bitget Token crypto,Polkastarter crypto,isPartial,StreamCoin crypto,Dvision Network crypto,Wing Finance crypto,Tokenlon crypto,Verge crypto,isPartial,Rally crypto,Crypto One Stop Solution crypto,Bonfida crypto,Unifi Protocol DAO crypto,OpenANX crypto,isPartial,vEmpire DDAO crypto,Flux crypto,DEAPCoin crypto,Energy Web Token crypto,Firo crypto,isPartial,SingularityDAO crypto,XEN Crypto crypto,Creditcoin crypto,BakeryToken crypto,LBR crypto,isPartial,Echelon Prime crypto,Lovely Inu crypto,Bitgert crypto,SwftCoin crypto,Turbo crypto,isPartial,Bone ShibaSwap crypto,Burger Swap crypto,Everipedia crypto,VIDT DAO crypto,Ispolink crypto,isPartial
2023-09-03 01:00:00,0,0,0,0,0,False,0,0,0,10,0,False,0,0,0,0,4,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,6,0,0,False,0,0,0,0,7,False,0,0,0,0,0,False,8,0,0,0,23,False,0,0,0,0,0,False
2023-09-03 02:00:00,0,0,0,14,0,False,0,0,0,27,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,9,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,10,0,0,0,False
2023-09-03 03:00:00,12,0,0,29,0,False,0,16,0,15,0,False,0,0,0,6,0,False,0,0,0,0,0,False,0,0,0,0,25,False,23,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,18,0,0,0,0,False,0,0,0,0,0,False
2023-09-03 04:00:00,0,0,0,0,0,False,0,35,0,0,0,False,0,0,0,7,0,False,0,0,19,0,0,False,0,0,0,0,16,False,0,0,0,0,0,False,0,0,0,0,0,False,0,30,0,0,0,False,0,0,14,0,0,False,0,0,0,0,0,False
2023-09-03 05:00:00,54,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,43,0,15,False
2023-09-03 06:00:00,0,0,17,0,0,False,0,0,0,0,0,False,0,0,0,0,16,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,12,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,20,0,18,False
2023-09-03 07:00:00,0,0,19,0,0,False,52,0,0,67,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,100,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
2023-09-03 08:00:00,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,43,0,False,0,47,0,0,0,False,0,0,0,0,0,False,0,0,0,0,85,False
2023-09-03 09:00:00,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,70,0,45,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,39,0,0,0,43,False,0,0,46,0,51,False
2023-09-03 10:00:00,0,0,63,0,0,False,50,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,57,0,0,0,0,False,0,34,0,17,36,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
