date,Safemoon V2 crypto,Aurora crypto,Storj crypto,REI Network crypto,Venus crypto,isPartial,Flamingo crypto,OpenANX crypto,Cream crypto,Adventure Gold crypto,COTI crypto,isPartial,COMBO crypto,LeverFi crypto,Symbol crypto,BitForex Token crypto,DAD Chain crypto,isPartial,Hifi Finance crypto,Crust Network crypto,Gitcoin crypto,CyberConnect crypto,SafePal crypto,isPartial,Baby Doge Coin crypto,Ampleforth Governance Token crypto,Linear crypto,Prometeus crypto,Tellor crypto,isPartial,Alchemix crypto,Radicle crypto,Groestlcoin crypto,Flux crypto,SKALE crypto,isPartial,Origin protocol crypto,Kaspa crypto,Stox crypto,Coin98 crypto,Komodo crypto,isPartial,Chromia crypto,Red Pulse Phoenix Binance crypto,Highstreet crypto,Dusk Network crypto,Synthetix Network crypto,isPartial,BakeryToken crypto,Astar crypto,XANA crypto,Midnight crypto,Machine Xchange Coin crypto,isPartial,Echelon Prime crypto,ASD crypto,Seedify.fund crypto,Dent crypto,Automata Network crypto,isPartial
2023-09-03 02:00:00,10,0,0,0,0,False,19,0,0,0,11,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,6,0,False,0,0,0,0,0,False
2023-09-03 03:00:00,0,10,10,0,0,False,37,0,40,0,0,False,0,0,0,0,0,False,0,0,0,0,18,False,0,0,0,0,15,False,0,0,0,0,5,False,0,0,0,0,0,False,0,0,23,0,0,False,0,12,0,0,0,False,18,0,0,0,0,False
2023-09-03 04:00:00,11,0,0,0,0,False,0,0,0,0,0,False,8,0,0,0,0,False,0,0,8,11,0,False,0,0,0,0,0,False,7,13,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
2023-09-03 05:00:00,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,8,0,0,0,0,False,0,0,21,0,0,False,0,0,0,0,0,False
2023-09-03 06:00:00,0,0,0,0,0,False,0,0,50,55,20,False,0,0,0,0,0,False,0,0,18,0,17,False,0,28,0,16,0,False,0,0,0,0,0,False,20,17,0,0,0,False,11,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
2023-09-03 07:00:00,0,0,0,0,34,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,72,0,59,False,0,0,12,0,40,False,16,0,0,0,18,False,0,11,0,0,0,False,0,0,0,0,0,False,0,25,0,0,0,False,0,0,0,35,0,False
2023-09-03 08:00:00,0,0,0,0,39,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,19,19,False,0,0,0,0,18,False,0,34,0,17,0,False,0,0,20,0,0,False,0,0,0,34,0,False,0,0,0,0,0,False
2023-09-03 09:00:00,0,0,0,0,0,False,0,0,0,37,0,False,100,0,0,0,0,False,0,0,0,86,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,23,0,0,0,0,False,0,0,0,0,0,False,39,0,0,0,0,False
2023-09-03 10:00:00,43,72,65,0,0,False,0,0,0,0,0,False,51,0,0,0,0,False,0,0,62,23,26,False,0,0,0,0,0,False,0,0,0,33,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
2023-09-03 11:00:00,0,0,0,0,0,False,0,0,0,0,0,False,42,0,0,0,0,False,0,0,0,0,35,False,26,0,0,0,0,False,14,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,15,0,False,0,0,0,0,0,False
