,block_date,value
0,2023-08-11,5
1,2023-08-18,4
2,2023-09-09,3
3,2023-09-08,1
4,2023-08-21,2
5,2023-08-22,2
6,2023-08-14,3
7,2023-09-10,3
8,2023-08-15,7
9,2023-08-28,4
10,2023-09-01,3
11,2023-08-12,3
12,2023-08-27,1
13,2023-08-16,6
14,2023-09-05,1
15,2023-08-19,4
16,2023-09-07,1
17,2023-09-04,4
18,2023-09-06,2
19,2023-08-31,3
20,2023-08-29,4
21,2023-08-30,1
22,2023-08-13,3
23,2023-08-10,15
24,2023-08-17,5
25,2023-09-02,1
26,2023-08-24,3
27,2023-08-23,1
