,block_date,value
0,2023-08-22,4
1,2023-08-18,1
2,2023-09-05,10
3,2023-08-11,1
4,2023-08-30,4
5,2023-08-27,4
6,2023-08-16,3
7,2023-09-03,3
8,2023-08-31,1
9,2023-09-06,3
10,2023-09-09,4
11,2023-09-08,9
12,2023-08-23,1
13,2023-08-25,4
14,2023-08-24,3
15,2023-09-02,6
16,2023-09-01,6
17,2023-08-28,4
18,2023-08-21,1
19,2023-08-26,1
20,2023-09-07,6
21,2023-09-10,16
22,2023-08-10,1
