,block_date,value
0,2023-08-22,1
1,2023-09-08,7
2,2023-09-09,3
3,2023-08-11,2
4,2023-09-03,4
5,2023-09-05,14
6,2023-09-04,1
7,2023-08-16,5
8,2023-08-27,1
9,2023-08-15,1
10,2023-09-07,4
11,2023-08-24,4
12,2023-09-02,5
13,2023-08-10,1
14,2023-09-06,2
15,2023-08-31,5
16,2023-09-10,5
17,2023-08-14,1
18,2023-08-23,1
19,2023-08-25,4
20,2023-08-30,3
21,2023-08-21,2
22,2023-08-18,1
23,2023-09-01,3
24,2023-08-28,5
25,2023-08-26,2
