,block_date,value
0,2023-09-08,3
1,2023-09-09,1
2,2023-09-05,1
3,2023-08-18,1
4,2023-09-10,9
5,2023-08-25,1
6,2023-08-28,2
7,2023-09-01,2
8,2023-08-27,1
9,2023-08-16,1
10,2023-09-06,1
11,2023-09-07,1
12,2023-08-30,1
13,2023-09-02,1
14,2023-08-22,1
